District,Arts_Block7_1,Arts_Block7_2,Arts_Block7_3,Law,Social_Science,Course_7_6,Course_7_7,Course_7_8,Course_7_9,Course_7_10,Course_7_11,Course_7_12,Course_7_13,Course_7_14,Course_7_15,Course_7_16,Course_7_17,Course_7_18,Course_7_19,Course_7_20,Course_7_21,Course_7_22,Course_7_23,Course_7_24,Course_7_25,Course_7_26,Course_7_27
COLOMBO,1.2435,1.2856,1.3814,0.1365,-0.1095,0.8289,0.5798,0.4888,1.3877,1.4945,1.3030,0.9192,0.9828,1.0443,1.0236,1.2941,1.2822,0.7701,0.8401,1.3669,0.9133,0.7440,1.2658,1.2801,0.7730,1.4979,
GAMPAHA,1.2364,1.2937,1.3870,0.5475,-0.4784,0.9155,0.7582,-0.1626,1.3424,1.4048,1.3428,0.8307,0.9284,0.9351,0.9976,1.1699,1.2757,0.7661,0.7879,1.3118,0.9126,0.7280,1.2620,1.3352,0.7692,1.4660,
KALUTARA,1.2334,1.3497,1.3872,NQC,NQC,0.8426,0.7035,-0.2065,1.2478,1.4651,1.3724,0.9840,1.0070,1.0786,1.0601,1.2849,1.2602,0.8871,0.8714,1.3509,0.9933,0.8257,1.2496,1.4323,0.8464,1.5229,
MATALE,1.1585,1.4746,1.2360,0.6124,-0.1515,0.8636,0.6097,0.8853,1.3028,1.4397,1.3754,0.9598,0.9431,0.9615,0.9654,1.1732,1.2355,0.8824,0.9044,1.4109,0.9444,0.7759,1.2207,1.3983,0.7569,1.4826,
KANDY,1.2030,1.4430,1.3762,NQC,0.1351,0.8748,0.7440,0.4116,1.3671,1.4091,1.3661,0.9401,0.9285,1.0101,1.0082,1.2216,1.2254,0.8498,0.8382,1.3043,0.9906,0.8074,1.2033,1.3841,0.8156,1.4984,
NUWARA ELIYA,0.9775,1.3376,1.2257,-0.0792,-0.3123,0.8470,NQC,0.1834,0.9172,1.4293,1.4407,0.8125,0.7754,0.8520,0.9120,1.0673,1.0932,0.7058,0.7145,1.0824,0.8311,0.6851,1.1611,1.3705,0.6344,1.4796,
GALLE,1.2290,1.3558,1.4089,NQC,0.1039,0.8984,0.6909,0.3927,1.3765,1.4182,1.4107,1.0039,0.9754,1.0811,1.0519,1.2587,1.2840,0.8733,0.8908,1.3679,0.9747,0.8402,1.2738,1.4035,0.8500,1.5164,
MATARA,1.2477,1.4357,1.4076,0.1001,-0.5668,0.9124,0.7731,0.2599,1.3449,1.4715,1.4063,0.9462,0.9771,1.0918,1.0943,1.3235,1.2796,0.9076,0.8841,1.3536,0.9867,0.8374,1.2795,1.3884,0.8357,1.4392,
HAMBANTOTA,1.1206,1.3867,1.4224,NQC,-0.0938,NQC,0.5628,0.4900,1.3397,NQC,1.3666,0.9682,0.9522,1.0572,1.1019,1.3187,1.2316,0.8643,0.8653,1.2944,0.9696,0.8286,1.2182,1.5055,0.8414,1.4688,
JAFFNA,0.8849,1.3433,1.4259,0.2944,0.3528,0.8721,NQC,0.6115,1.4003,1.5100,1.2210,0.7469,0.7743,1.0694,1.0940,1.3485,1.1131,0.7256,0.7371,1.3144,0.9174,0.7051,0.9549,1.4538,0.7834,1.4761,
KILINOCHCHI,0.8796,1.5380,1.2348,NQC,0.1664,NQC,NQC,0.0956,1.3422,1.5857,1.4654,0.8117,0.4048,0.6273,0.7951,1.1275,0.9802,0.6678,0.4377,1.0354,0.8466,0.4743,0.8835,1.5039,0.4875,0.9408,
MANNAR,0.7517,1.5052,0.7682,NQC,0.1743,NQC,NQC,NQC,1.2648,NQC,1.4064,0.3741,0.2779,1.0505,0.9383,1.0824,0.8596,0.5581,0.3927,1.3470,0.5109,0.5031,0.7582,1.5272,0.2434,1.0718,
MULLAITIVU,0.8604,1.4435,0.6054,0.7574,0.2719,NQC,NQC,0.3803,1.1820,1.5029,1.4767,0.5291,0.3823,0.3647,0.6794,1.2219,0.8159,0.3239,0.4290,0.8604,0.4277,0.3340,0.7112,1.4179,0.4287,0.9430,
VAVUNIYA,0.9120,1.4977,0.6229,NQC,0.3663,1.0588,0.5719,NQC,1.2720,NQC,1.2185,0.8493,0.9417,0.7026,0.9635,1.0841,1.0541,0.7464,0.5637,0.9705,0.8310,0.6033,0.8753,1.4097,0.4470,1.1247,
TRINCOMALEE,0.9926,1.5241,1.0500,-0.2306,NQC,0.9759,NQC,0.0235,1.4007,NQC,1.3933,0.7554,0.7907,0.9192,1.0759,1.2697,1.1173,0.8851,0.8534,1.3928,0.9784,0.7472,1.0606,1.3831,0.6021,1.1796,
BATTICALOA,0.9482,1.5065,1.2626,0.1024,0.4504,NQC,0.6054,0.4821,1.3971,1.6006,1.3114,0.7932,0.8239,1.0191,1.0323,1.2320,1.1100,0.7440,0.7244,1.4115,0.9758,0.7269,0.9441,1.5067,0.6983,1.4006,
AMPARA,0.9233,1.5206,1.3289,0.6801,0.2004,1.0333,NQC,0.4801,1.4065,1.4471,1.3455,0.9588,0.9204,0.8646,1.0310,1.2735,0.9931,0.9000,0.8389,1.3319,0.9726,0.7465,0.9773,1.5146,0.6983,1.4644,
PUTTALAM,1.0083,1.5042,1.1417,-0.2278,-0.1680,0.9466,NQC,0.1603,1.2750,1.5244,1.2758,0.7669,0.7944,0.9535,0.9185,1.0592,1.0675,0.6585,0.7222,1.0876,0.7891,0.6344,1.1076,1.4601,0.6082,1.4604,
KURUNEGALA,1.1925,1.3647,1.3534,0.4272,-0.3987,0.8665,0.5562,0.3657,1.3459,1.4041,1.4046,0.9194,0.9162,0.9803,1.0651,1.2842,1.2547,0.8277,0.8445,1.3507,0.9761,0.8049,1.2356,1.3843,0.8467,1.4136,
ANURADHAPURA,1.0401,1.4636,1.2259,0.3524,0.1824,0.8500,0.7678,0.4967,1.3136,1.4270,1.3462,0.9240,0.9381,0.9849,1.0273,1.2085,1.1571,0.7634,0.8054,1.2057,0.9382,0.7017,1.1644,1.3815,0.7800,1.4316,
POLONNARUWA,1.1574,1.3628,1.1758,NQC,-0.0408,0.9775,0.7367,0.0804,0.9842,1.3990,1.3089,0.7918,0.8093,0.9525,0.8280,1.0282,1.2253,0.6766,0.7855,1.3667,0.7359,0.7677,1.1477,1.2791,0.7226,1.3042,
BADULLA,1.1278,1.4252,1.3483,0.2289,0.2578,0.8330,0.5935,0.6339,1.3440,1.4292,1.4573,0.9093,0.9273,0.9457,1.0537,1.2242,1.1940,0.8034,0.8441,1.3340,0.9857,0.7462,1.1680,1.5201,0.8105,1.5299,
MONARAGALA,1.2105,1.4069,1.2611,NQC,0.2703,NQC,0.5801,0.4768,1.2289,1.4333,1.4607,0.8995,0.9776,1.0574,0.9669,1.0116,1.2334,0.7763,0.7865,1.3072,0.9656,0.7358,1.1976,1.3977,0.7252,1.3482,
KEGALLE,1.2305,1.4113,1.3974,0.2629,0.1676,0.8966,0.5732,NQC,1.3731,1.4464,1.4694,0.9897,0.9588,1.0112,1.0956,1.3226,1.2821,0.8617,0.8681,1.3403,0.9551,0.8368,1.2753,1.4185,0.8401,1.5363,
RATNAPURA,1.1867,1.3079,1.4049,0.7803,-0.7545,0.9300,NQC,-0.0956,1.2260,1.4634,1.2946,0.9602,0.9356,1.0127,0.9753,1.2796,1.2446,0.8061,0.8296,1.3720,0.9253,0.8020,1.2336,1.3212,0.8128,1.5335,
,"* Selecti
NQC -N
1. Distric",,"n an all Isl
d Candid
a given co",,,"# Courses of Study for which t
e to the following reasons.
n district has already been filled b",,,,"oriented Practical T
nts of that district.",,,ude Tests,,ucted.,,,,,,,,,,,,
